Request Method,Request Path,Request Parameters,User-Agent,Referrer,IP Address,Timestamp,Content-Type,Response Code,Label
GET,/search?q=important+documents+filetype:pdf,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.252,2024-04-24 00:15:00,text/html,200,1(potential data exfiltration attempt - searching for PDFs)
POST,/api/v3/users/1/reset-password,"email=""non-existent@email.com""",Postman/8.9.20,[invalid URL removed],10.0.0.14 (Suspicious IP),2024-04-24 00:20:00,application/json,404,1(potential password reset attempt for non-existent user - suspicious IP)
POST,/forum/post,"content=""Here's a xss: javascript:alert('XSS') link!""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.253,2024-04-24 00:25:00,application/x-www-form-urlencoded,201,1(potential XSS attack in forum post)
GET,/robots.txt%0a%0atest=malicious_script,-,Slurp/ (+[invalid URL removed]),-,192.168.1.254,2024-04-24 00:30:00,text/plain,400,1(potential newline character injection with test script in robots.txt)
PUT,/users/admin/role,"role=""super_admin""",Java/17.0.2,[invalid URL removed],192.168.1.255,2024-04-24 00:35:00,application/json,403,1(potential unauthorized privilege escalation attempt)
POST,/api/v4/diagnostics/ping,-,Go-http-client/1.1,[invalid URL removed],192.168.1.256,2024-04-24 00:40:00,application/json,200,1(potential port scanning attempt disguised as ping)
GET,/login.php?username=admin'&password='',-,Burp Suite/1.7.3,-,192.168.1.249,2024-04-24 00:00:00,text/html,200,1 (potential brute-force login attempt)
POST,/api/v2/users/,"username=""created_user"" & password=""weak_password""",Python-requests/2.28.1,[invalid URL removed],192.168.1.250,2024-04-24 00:05:00,application/json,201,0 (weak password creation - not necessarily an attack)
POST,/upload.php,file=@/@evil_script.sh,curl/7.81.0,http://example.com/,192.168.1.251 (Suspicious IP),2024-04-24 00:10:00,multipart/form-data,200,1 (potential file upload attack)
GET,/search?q=important+documents+filetype:pdf,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.252,2024-04-24 00:15:00,text/html,200,1 (potential data exfiltration attempt)
POST,/api/v3/users/1/reset-password,"email=""non-existent@email.com""",Postman/8.9.20,[invalid URL removed],10.0.0.14 (Suspicious IP),2024-04-24 00:20:00,application/json,404,0 (potential password reset attempt for non-existent user - not necessarily an attack on this system)
POST,/forum/post,"content=""Here's a xss: javascript:alert('XSS') link!""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.253,2024-04-24 00:25:00,application/x-www-form-urlencoded,201,1 (potential XSS attack)
GET,/robots.txt%0a%0atest=malicious_script,-,Slurp/ (+[invalid URL removed]),-,192.168.1.254,2024-04-24 00:30:00,text/plain,400,1 (potential newline character injection attempt)
PUT,/users/admin/role,"role=""super_admin""",Java/17.0.2,[invalid URL removed],192.168.1.255,2024-04-24 00:35:00,application/json,403,1 (potential unauthorized privilege escalation attempt)
POST,/api/v4/diagnostics/ping,-,Go-http-client/1.1,[invalid URL removed],192.168.1.256,2024-04-24 00:40:00,application/json,200,1 (potential port scanning attempt)
POST,/api/v3/social/login,"provider=""unknown"" & access_token=""invalid_token""",Chrome/103.0.0.0,http://example.com/,192.168.1.265,2024-04-24 01:30:00,application/json,401,1 (potential social login attempt with unknown provider or invalid token)
GET,/admin,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.266,2024-04-24 01:35:00,text/html,302,0 (potential attempt to access admin panel - not necessarily an attack)
POST,/api/v1/users/,"username=""administrator"" & password=""blank_password""",Python-requests/2.28.1,[invalid URL removed],192.168.1.267,2024-04-24 01:40:00,application/json,400,1 (potential account creation attempt with blank password)
PUT,/security/answer,"question=""question1"" & answer=""incorrect_answer""",Firefox/108.0,[invalid URL removed],192.168.1.268,2024-04-24 01:45:00,application/json,401,1 (potential security question answer attempt with incorrect answer)
POST,/_ping?cmd=echo+<?php+echo+shell_exec%28%27whoami%27%29; ?>,-,Slurp/ (+[invalid URL removed]),-,192.168.1.269,2024-04-24 01:50:00,application/x-www-form-urlencoded,400,1 (potential code injection attempt using PHP shell execution)
POST,/api/v4/upload,"filename=""important_data.csv"" & data=@[malicious_data.csv]",Java/17.0.2,[invalid URL removed],10.0.0.16 (Suspicious IP),2024-04-24 01:55:00,multipart/form-data,201,1 (potential unauthorized upload of malicious data - suspicious IP)
DELETE,/var/www/html/index.php,-,curl/7.81.0,[invalid URL removed],192.168.1.270,2024-04-24 02:00:00,application/x-www-form-urlencoded,403,1 (potential unauthorized deletion attempt of a critical file)
POST,/forum/post,"content=""Here's a SQL injection attempt: ' OR 1=1; --""",Thunderbird/102.0,[invalid URL removed],192.168.1.271,2024-04-24 02:05:00,application/x-www-form-urlencoded,201,1 (potential SQL injection attempt in forum post)
POST,/api/v2/users/search,"username=""*""",Chrome/103.0.0.0,http://example.com/,192.168.1.273,2024-04-24 02:15:00,application/json,400,1 (potential attempt to enumerate user accounts using wildcard search)
GET,/favicon.ico?v=1234567890,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.274,2024-04-24 02:20:00,image/x-icon,404,0 (potential cache probing attempt with unlikely cache buster - not necessarily an attack)
POST,/api/v1/sessions,"username=""admin"" & password=""!@#$%^&*""",Python-requests/2.28.1,[invalid URL removed],192.168.1.275,2024-04-24 02:25:00,application/json,401,1 (potential brute-force login attempt with strong password - likely automated)
PUT,/security/mfa/enable,"type=""sms"" & phone_number=""+1234567890""",Firefox/108.0,[invalid URL removed],192.168.1.276,2024-04-24 02:30:00,application/json,200,0 (enabling multi-factor authentication - not necessarily an attack)
POST,/robots.txt%0axyz%0aUser-agent: *%0adisallow: /,-,Slurp/ (+[invalid URL removed]),-,192.168.1.277,2024-04-24 02:35:00,text/plain,400,1 (potential attempt to bypass robots.txt with newline characters and user-agent wildcard)
GET,/healthz,-,Java/17.0.2,[invalid URL removed],10.0.0.17 (Suspicious IP),2024-04-24 02:40:00,text/plain,200,1 (potential health check request from suspicious IP)
DELETE,/api/v4/configurations/global,-,curl/7.81.0,[invalid URL removed],192.168.1.278,2024-04-24 02:45:00,application/json,403,1 (potential unauthorized deletion attempt of global configurations)
POST,/webmail/compose,"recipient=""[email address removed]"" & subject=""Click this link to win a prize!"" & body=""This is a phishing email with a malicious link.""",Thunderbird/102.0,[invalid URL removed],192.168.1.279,2024-04-24 02:50:00,multipart/form-data,202,1 (potential spam attempt with phishing lure)
GET,/.env,-,Go-http-client/1.1,[invalid URL removed],192.168.1.280,2024-04-24 02:55:00,text/plain,404,0 (potential attempt to access environment variables - not
POST,/api/v3/workspaces,"name=""My Workspace"" & description=""This workspace contains sensitive data!""",Postman/8.9.20,[invalid URL removed],192.168.1.281 (Employee IP),2024-04-24 03:00:00,application/json,201,"0 (potential creation of a workspace with sensitive data description - insider threat, but not necessarily an attack)"
GET,/assets/images/logo.png%20?cmd=systeminfo,-,Wget/1.21.1,[invalid URL removed],10.0.0.18 (External Scanner IP),2024-04-24 03:05:00,image/png,400,1 (potential directory traversal attempt with system information retrieval command)
PUT,/users/john.doe/role,"role=""admin""",curl/7.81.0,[invalid URL removed],192.168.1.282,2024-04-24 03:10:00,application/json,403,1 (unauthorized privilege escalation attempt for a specific user)
POST,/api/v2/search,"query=""credit card numbers""",Python-requests/2.28.1,[invalid URL removed],192.168.1.283,2024-04-24 03:15:00,application/json,403,1 (potential data exfiltration attempt searching for credit card numbers)
POST,/chat/message,"content=""Hey everyone, check out this funny [image]"" & image_url=""malicious_[invalid URL removed]""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.284,2024-04-24 03:20:00,multipart/form-data,200,1 (potential malicious image link shared in chat - could be social engineering or exploit)
POST,/security/forgot-password,"email=""nonexistent_user@email.com"" & captcha=""gibberish_characters""",Firefox/108.0,[invalid URL removed],192.168.1.285,2024-04-24 03:25:00,application/json,400,0 (potential brute-force password reset attempt with invalid captcha - not necessarily an attack on a valid user)
GET,/internal/logs,-,Go-http-client/1.1,[invalid URL removed],192.168.1.286 (Admin IP),2024-04-24 03:30:00,text/plain,200,0 (legitimate access to internal logs by an administrator)
DELETE,/backups/*.tar.gz,-,curl/7.81.0,[invalid URL removed],10.0.0.19 (Suspicious IP),2024-04-24 03:35:00,application/x-www-form-urlencoded,403,1 (potential unauthorized deletion attempt of backups from suspicious IP)
POST,/api/v4/server/restart,-,Java/17.0.2,[invalid URL removed],192.168.1.287,2024-04-24 03:40:00,application/json,500,0 (server restart attempt resulting in internal server error - not necessarily an attack)
POST,/api/v2/users/invite,"email=""[email address removed]"" & role=""admin""",Thunderbird/102.0,[invalid URL removed],192.168.1.288 (Compromised User IP),2024-04-24 03:45:00,application/json,202,1 (potential account invitation for admin role from compromised user - insider threat)
TRACE,/healthz,-,curl/7.81.0,[invalid URL removed],10.0.0.20 (External Scanner IP),2024-04-24 03:50:00,message/http,405,1 (potential information disclosure attempt using TRACE method on health check endpoint)
POST,/api/v3/transfer,"from_account=""12345678"" & to_account=""98765432"" & amount=10000.00",Python-requests/2.28.1,[invalid URL removed],192.168.1.289,2024-04-24 03:55:00,application/json,403,1 (potential unauthorized fund transfer attempt)
PUT,/userprefs/language,"lang=""unknown_language""",Firefox/108.0,[invalid URL removed],192.168.1.290,2024-04-24 04:00:00,application/json,400,0 (changing user preferences to an unknown language - not necessarily an attack)
POST,/api/v1/reviews,"product_id=123 & rating=0 & comment=""This product is terrible!""",Chrome/103.0.0.0,product page: [invalid URL removed],192.168.1.291,2024-04-24 04:05:00,application/json,201,0 (posting a negative review - not necessarily an attack)
GET,/admin/?next=/,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",[invalid URL removed],192.168.1.292,2024-04-24 04:10:00,text/html,302,1 (potential session fixation attempt by including desired next URL in request)
POST,/upload,"filename=""important_report.pdf"" & file=@evil_script.sh",curl/7.81.0,[invalid URL removed],192.168.1.293,2024-04-24 04:15:00,multipart/form-data,415,1 (potential file upload attempt with malicious script disguised as a report)
POST,/api/v4/search,"query=""SQL injection test""",Java/17.0.2,[invalid URL removed],10.0.0.21 (Suspicious IP),2024-04-24 04:20:00,application/json,400,1 (potential SQL injection attempt using a specific search query from a suspicious IP)
